Date,StrategyOne,StrategyTwo,StrategyThree
1971.12,100.00,100.00,100.00
1972.01,206.91,203.00,206.83
1972.02,313.72,306.52,313.58
1972.03,424.42,410.57,424.14
1972.04,532.25,515.19,531.91
1972.05,630.64,620.32,630.43
1972.06,736.39,725.98,736.18
1972.07,835.19,832.18,835.13
1972.08,969.23,938.99,968.62
1972.09,1060.03,1046.61,1059.77
1972.10,1166.97,1154.76,1166.73
1972.11,1330.67,1263.31,1329.32
1972.12,1463.89,1372.50,1462.04
1973.01,1583.42,1484.95,1581.29
1973.02,1635.97,1598.23,1636.35
1973.03,1719.09,1712.23,1720.71
1973.04,1796.18,1826.81,1799.28
1973.05,1855.23,1942.30,1860.50
1973.06,1923.50,2058.53,1930.58
1973.07,2051.83,2175.83,2058.51
1973.08,2123.46,2294.31,2131.88
1973.09,2270.82,2412.92,2278.22
1973.10,2471.91,2531.64,2476.28
1973.11,2408.12,2650.90,2419.51
1973.12,2349.88,2770.85,2367.61
1974.01,2497.47,2894.68,2513.91
1974.02,2543.65,3019.16,2564.28
1974.03,2767.43,3144.99,2782.90
1974.04,2742.31,3272.36,2766.10
1974.05,2776.12,3400.72,2804.79
1974.06,2896.54,3529.78,2925.63
1974.07,2676.90,3660.44,2723.68
1974.08,2684.33,3792.65,2736.57
1974.09,2524.53,3925.75,2589.03
1974.10,2692.02,4059.29,2755.38
1974.11,2900.13,4192.95,2960.75
1974.12,2832.00,4326.61,2900.82
1975.01,3185.97,4464.03,3242.20
1975.02,3639.52,4601.90,3675.46
1975.03,3930.39,4741.93,3955.43
1975.04,4099.10,4884.83,4121.98
1975.05,4483.81,5028.02,4488.37
1975.06,4723.66,5171.33,4720.33
1975.07,4854.43,5316.45,4852.00
1975.08,4626.47,5464.05,4653.97
1975.09,4697.60,5612.81,4730.65
1975.10,5040.72,5761.27,5059.22
1975.11,5253.67,5910.30,5267.03
1975.12,5302.31,6060.08,5323.27
1976.01,5920.03,6212.31,5895.76
1976.02,6279.85,6365.78,6233.83
1976.03,6443.30,6519.92,6395.94
1976.04,6626.98,6674.14,6576.12
1976.05,6715.00,6831.22,6671.16
1976.06,6888.62,6989.10,6842.75
1976.07,7185.05,7147.85,7124.21
1976.08,7258.27,7307.27,7206.35
1976.09,7548.07,7466.63,7481.89
1976.10,7427.84,7625.88,7391.47
1976.11,7514.30,7785.35,7485.20
1976.12,7911.54,7943.06,7857.33
1977.01,7985.55,8106.75,7942.29
1977.02,7913.39,8272.65,7899.47
1977.03,8025.48,8440.04,8017.93
1977.04,8046.49,8607.85,8056.32
1977.05,8168.10,8777.33,8183.27
1977.06,8357.79,8946.55,8370.19
1977.07,8581.02,9117.17,8586.82
1977.08,8519.72,9289.36,8553.05
1977.09,8536.41,9462.15,8587.59
1977.10,8466.10,9637.41,8545.11
1977.11,8665.34,9814.26,8741.51
1977.12,8774.97,9993.12,8858.58
1978.01,8598.10,10178.28,8728.92
1978.02,8634.31,10365.26,8783.79
1978.03,8776.54,10553.57,8931.33
1978.04,9317.97,10744.12,9428.51
1978.05,9948.04,10937.75,10001.41
1978.06,10134.12,11133.73,10188.26
1978.07,10247.23,11332.76,10312.42
1978.08,11114.49,11531.05,11089.13
1978.09,11278.11,11730.83,11257.28
1978.10,11085.86,11934.16,11120.43
1978.11,10604.92,12140.64,10733.29
1978.12,10927.17,12350.67,11040.46
1979.01,11504.98,12566.17,11562.68
1979.02,11506.41,12783.30,11596.90
1979.03,11897.11,13002.30,11960.46
1979.04,12307.64,13223.60,12340.73
1979.05,12198.19,13447.38,12282.99
1979.06,12614.36,13669.06,12668.37
1979.07,12915.51,13892.85,12956.59
1979.08,13683.03,14119.24,13638.14
1979.09,14015.61,14350.85,13953.38
1979.10,13670.46,14595.87,13703.85
1979.11,13749.16,14847.25,13808.83
1979.12,14474.66,15097.64,14459.07
1980.01,15077.79,15362.31,14999.79
1980.02,15863.55,15649.77,15692.36
1980.03,14603.27,15939.03,14723.34
1980.04,14560.16,16206.29,14733.01
1980.05,15415.80,16469.04,15486.78
1980.06,16594.91,16723.38,16502.03
1980.07,17541.83,16991.11,17322.58
1980.08,18279.86,17269.46,17972.13
1980.09,18921.89,17564.68,18545.84
1980.10,19674.10,17871.49,19209.48
1980.11,20704.14,18181.44,20094.86
1980.12,20572.97,18494.37,20053.38
1981.01,20703.85,18817.64,20225.97
1981.02,20199.63,19155.96,19905.08
1981.03,21162.13,19493.10,20734.41
1981.04,21563.72,19849.96,21125.54
1981.05,21345.17,20199.66,21029.12
1981.06,21656.33,20560.80,21350.03
1981.07,21350.41,20939.84,21187.94
1981.08,21650.07,21336.05,21506.50
1981.09,19989.82,21745.34,20270.09
1981.10,20462.51,22138.12,20727.07
1981.11,21211.45,22510.03,21403.92
1981.12,21589.45,22899.91,21783.54
1982.01,20689.27,23300.46,21159.40
1982.02,20427.36,23702.46,21031.10
1982.03,20001.71,24113.12,20769.68
1982.04,21222.53,24522.51,21836.13
1982.05,21475.00,24935.24,22119.80
1982.06,20481.20,25365.82,21405.58
1982.07,20662.79,25785.79,21631.48
1982.08,20958.03,26191.88,21947.35
1982.09,23613.29,26584.85,24188.52
1982.10,25833.29,26962.46,26038.00
1982.11,27122.68,27346.60,27133.48
1982.12,27620.60,27712.96,27602.17
1983.01,28835.71,28096.27,28616.86
1983.02,29582.73,28470.00,29271.82
1983.03,30857.10,28856.07,30325.59
1983.04,32282.64,29236.79,31486.49
1983.05,33840.88,29635.73,32744.69
1983.06,34567.29,30040.05,33386.02
1983.07,34946.47,30468.33,33778.49
1983.08,34243.53,30902.38,33377.50
1983.09,35509.62,31330.28,34426.32
1983.10,35874.34,31770.42,34811.05
1983.11,35601.79,32212.32,34726.20
1983.12,35691.82,32663.05,34909.55
1984.01,36391.15,33117.68,35541.81
1984.02,34676.70,33586.87,34433.41
1984.03,34968.42,34074.64,34777.60
1984.04,35284.20,34575.93,35142.84
1984.05,35334.67,35113.51,35321.92
1984.06,34823.39,35655.95,35085.40
1984.07,34647.10,36177.02,35087.09
1984.08,37963.89,36702.51,37704.97
1984.09,38634.88,37221.51,38336.46
1984.10,38615.50,37724.72,38456.70
1984.11,39249.57,38227.03,39056.84
1984.12,39112.31,38732.56,39089.78
1985.01,41085.52,39233.62,40650.96
1985.02,43597.70,39764.86,42594.37
1985.03,43532.62,40291.78,42706.15
1985.04,44119.58,40815.72,43275.79
1985.05,45464.65,41306.97,44371.12
1985.06,46744.74,41800.62,45418.60
1985.07,47934.11,42309.62,46404.98
1985.08,47195.25,42814.85,46044.54
1985.09,46451.36,43323.22,45674.57
1985.10,47285.92,43825.18,46413.14
1985.11,50454.10,44318.14,48797.85
1985.12,53259.17,44791.34,50896.43
1986.01,53804.49,45273.75,51424.24
1986.02,57006.78,45725.80,53719.30
1986.03,60667.43,46151.80,56282.38
1986.04,62471.87,46580.04,57608.65
1986.05,62924.10,47037.93,58068.06
1986.06,65036.14,47470.40,59590.19
1986.07,64012.47,47905.15,59094.75
1986.08,65614.81,48326.36,60283.74
1986.09,64154.12,48770.49,59508.02
1986.10,64242.44,49212.41,59724.91
1986.11,66651.37,49652.80,61450.77
1986.12,67932.97,50096.38,62440.17
1987.01,72603.93,50543.73,65534.49
1987.02,77433.30,50994.48,68681.46
1987.03,80963.42,51461.18,71006.70
1987.04,80422.01,51960.51,70898.67
1987.05,80710.98,52477.10,71292.10
1987.06,84483.48,52991.62,73776.45
1987.07,87265.14,53522.36,75658.87
1987.08,93034.88,54070.89,79302.38
1987.09,90371.92,54653.58,78025.06
1987.10,79837.24,55202.77,72084.56
1987.11,70194.06,55764.74,66394.05
1987.12,69410.32,56323.71,66099.34
1988.01,72503.15,56864.13,68254.68
1988.02,75063.36,57402.59,70060.67
1988.03,77636.54,57964.65,71874.31
1988.04,77105.61,58545.13,71789.67
1988.05,75578.54,59146.77,71097.34
1988.06,80254.10,59733.17,74235.41
1988.07,80163.29,60339.20,74431.02
1988.08,78944.45,60956.68,73938.17
1988.09,80616.13,61558.75,75215.17
1988.10,83827.15,62154.24,77435.09
1988.11,82293.80,62775.77,76758.46
1988.12,84357.95,63406.33,78286.54
1989.01,87470.87,64038.01,80410.20
1989.02,90508.06,64691.49,82486.20
1989.03,90521.76,65349.03,82789.42
1989.04,93898.45,65996.10,85054.56
1989.05,97911.55,66625.20,87666.10
1989.06,101385.71,67230.72,89936.45
1989.07,104375.24,67824.36,91911.88
1989.08,109418.79,68446.96,95050.02
1989.09,110077.45,69076.52,95722.23
1989.10,110550.28,69688.56,96282.06
1989.11,108710.76,70299.71,95552.15
1989.12,111838.37,70920.42,97607.16
1990.01,109534.93,71578.08,96694.47
1990.02,106937.75,72246.57,95606.44
1990.03,109987.80,72925.47,97629.35
1990.04,110366.73,73636.71,98190.28
1990.05,114769.00,74325.41,100958.20
1990.06,118560.94,75006.97,103368.26
1990.07,118924.28,75688.83,103911.46
1990.08,109765.41,76407.46,99314.58
1990.09,105177.49,77128.29,97088.16
1990.10,102913.42,77842.64,96126.00
1990.11,106137.66,78538.06,98311.79
1990.12,111153.91,79226.68,101512.12
1991.01,110560.16,79920.11,101532.25
